task,phase,region,size,A,R,I,adapter_need
circle,3,31,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
circle,3,35,1000,0.9464927315711975,0.95611971616745,"[3.942752300645225e-05, 0.9953873753547668, 0.00031120050698518753, 0.004262028262019157]",0.9049603343009949
diagonal,4,3,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,8,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,11,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,15,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,16,1000,0.9469814896583557,0.955522358417511,"[8.899006934370846e-05, 0.9932703375816345, 0.0006133771385066211, 0.006027325056493282]",0.9048619866371155
diagonal,4,23,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,28,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,31,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
diagonal,4,35,1000,0.9473885893821716,0.9556957483291626,"[6.406958709703758e-05, 0.9940105080604553, 0.0004708003834821284, 0.005454626865684986]",0.9054152369499207
xor_quadrant,5,3,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,8,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,11,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,15,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,16,1000,0.9455828666687012,0.9555017948150635,"[0.00011887544678756967, 0.9933401942253113, 0.0007112526800483465, 0.0058297268114984035]",0.9035061001777649
xor_quadrant,5,23,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,28,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,31,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
xor_quadrant,5,35,1000,0.9462464451789856,0.9560871124267578,"[6.520727765746415e-05, 0.9944895505905151, 0.00048812918248586357, 0.004957127850502729]",0.9046940207481384
