phase,batch,n_closed,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
4,78,13576,0.1926117092370987,0.3703148663043976,0.0,0.9053416848182678,0.7870601415634155,0.21293988823890686
4,0,13576,0.19263339042663574,0.3703565001487732,0.0,0.9054370522499084,0.7870601415634155,0.21293988823890686
4,78,13576,0.19260603189468384,0.3703038990497589,0.0,0.9053084254264832,0.7870601415634155,0.21293988823890686
4,0,13576,0.19259309768676758,0.3702790439128876,0.0,0.9052459597587585,0.7870601415634155,0.21293988823890686
4,78,13576,0.19255425035953522,0.3702043294906616,0.0,0.9050799608230591,0.7870601415634155,0.21293988823890686
4,0,13576,0.1926392912864685,0.3703678250312805,0.0,0.9054589867591858,0.7870601415634155,0.21293988823890686
4,78,13576,0.19256709516048431,0.3702290654182434,0.0,0.9051197171211243,0.7870601415634155,0.21293988823890686
5,0,17185,0.003100494621321559,0.05080757290124893,0.0,0.8369010090827942,0.9962896704673767,0.0
5,78,17185,0.003341902047395706,0.054763488471508026,0.0,0.9012675285339355,0.9962896704673767,0.0037103600334376097
5,0,17185,0.0033423625864088535,0.05477103218436241,0.0,0.9013261198997498,0.9962896704673767,0.0037103600334376097
5,78,17185,0.0033409094903618097,0.05474722012877464,0.0,0.9011192321777344,0.9962896704673767,0.0033625138457864523
5,0,17185,0.0033428703900426626,0.054779354482889175,0.0,0.901473879814148,0.9962896704673767,0.0037103600334376097
5,78,17185,0.00334367249161005,0.05479250103235245,0.0,0.9016709327697754,0.9962896704673767,0.0037103600334376097
5,0,17185,0.0033411856275051832,0.054751746356487274,0.0,0.901066780090332,0.9962896704673767,0.0037103600334376097
5,78,17185,0.0033409958705306053,0.05474863946437836,0.0,0.9010134935379028,0.9962896704673767,0.003594411304220557
5,0,17185,0.0033415425568819046,0.05475759878754616,0.0,0.9011043310165405,0.9962896704673767,0.0037103600334376097
5,78,17185,0.0033426855225116014,0.054776325821876526,0.0,0.9014782309532166,0.9962896704673767,0.0037103600334376097
