task,phase,region,size,A,R,I,adapter_need
horizontal,1,30,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,38,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,39,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,40,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,41,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,42,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,43,32,0.8908312916755676,0.9600648880004883,"[0.005274135619401932, 0.9938116073608398, 0.00038807603414170444, 0.0005261004553176463]",0.8552558422088623
horizontal,1,44,1,0.8890281319618225,0.958930492401123,"[0.006478453520685434, 0.9922981858253479, 0.0005343292141333222, 0.0006890365038998425]",0.8525161743164062
vertical,2,2,64,0.8995989561080933,0.9643222093582153,"[0.0013773147948086262, 0.9985684156417847, 2.0924979253322817e-05, 3.329616811242886e-05]",0.8675032258033752
circle,3,2,64,0.8989486694335938,0.9641618132591248,"[0.0014373454032465816, 0.9985069632530212, 2.4824219508445822e-05, 3.087079676333815e-05]",0.8667320013046265
diagonal,4,2,64,0.8987201452255249,0.9643063545227051,"[0.0014646699419245124, 0.9984691739082336, 3.121978079434484e-05, 3.4854296245612204e-05]",0.8666415214538574
diagonal,4,3,1000,0.9016630053520203,0.9638888239860535,"[0.0023055034689605236, 0.9974932670593262, 7.783190085319802e-05, 0.00012338017404545099]",0.8691028952598572
diagonal,4,7,96,0.8988026976585388,0.9639546275138855,"[0.001872436492703855, 0.9980040192604065, 5.509088805411011e-05, 6.837660475866869e-05]",0.8664050102233887
diagonal,4,8,1000,0.9016630053520203,0.9638888239860535,"[0.0023055034689605236, 0.9974932670593262, 7.783190085319802e-05, 0.00012338017404545099]",0.8691028952598572
diagonal,4,10,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,11,1000,0.9016630053520203,0.9638888239860535,"[0.0023055034689605236, 0.9974932670593262, 7.783190085319802e-05, 0.00012338017404545099]",0.8691028952598572
diagonal,4,18,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,19,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,20,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,21,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,22,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,27,96,0.8988026976585388,0.9639546275138855,"[0.001872436492703855, 0.9980040192604065, 5.509088805411011e-05, 6.837660475866869e-05]",0.8664050102233887
diagonal,4,30,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,38,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,39,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,40,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,41,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,42,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,43,32,0.8994745016098022,0.9629727602005005,"[0.0030199901666492224, 0.9965968728065491, 0.00014659350563306361, 0.00023651919036637992]",0.8661694526672363
diagonal,4,44,1,0.9002861380577087,0.9622297286987305,"[0.003997539170086384, 0.9953553676605225, 0.00023169952328316867, 0.0004153561021666974]",0.8662821054458618
xor_quadrant,5,2,64,0.8981021046638489,0.9644204378128052,"[0.000994736677967012, 0.9989867806434631, 7.681321221753024e-06, 1.0868232493521646e-05]",0.866148054599762
